N01_01_1 SAM6_GTB0_TAC01_CH01
N01_01_2 SAM6_GTB0_TAC01_CH09
N01_02_1 SAM6_GTB0_TAC01_CH02
N01_02_2 SAM6_GTB0_TAC01_CH10
N01_03_1 SAM6_GTB0_TAC01_CH03
N01_03_2 SAM6_GTB0_TAC01_CH11
N01_04_1 SAM6_GTB0_TAC01_CH04
N01_04_2 SAM6_GTB0_TAC01_CH12
N01_05_1 SAM6_GTB0_TAC01_CH05
N01_05_2 SAM6_GTB0_TAC01_CH13
N01_06_1 SAM6_GTB0_TAC01_CH06
N01_06_2 SAM6_GTB0_TAC01_CH14
N01_07_1 SAM6_GTB0_TAC01_CH07
N01_07_2 SAM6_GTB0_TAC01_CH15
N01_08_1 SAM6_GTB0_TAC01_CH08
N01_08_2 SAM6_GTB0_TAC01_CH16
N01_09_1 SAM6_GTB0_TAC02_CH01
N01_09_2 SAM6_GTB0_TAC02_CH09
N01_10_1 SAM6_GTB0_TAC02_CH02
N01_10_2 SAM6_GTB0_TAC02_CH10
N01_11_1 SAM6_GTB0_TAC02_CH03
N01_11_2 SAM6_GTB0_TAC02_CH11
N01_12_1 SAM6_GTB0_TAC02_CH04
N01_12_2 SAM6_GTB0_TAC02_CH12
N01_13_1 SAM6_GTB0_TAC02_CH05
N01_13_2 SAM6_GTB0_TAC02_CH13
N01_14_1 SAM6_GTB0_TAC02_CH06
N01_14_2 SAM6_GTB0_TAC02_CH14
N01_15_1 SAM6_GTB0_TAC02_CH07
N01_15_2 SAM6_GTB0_TAC02_CH15
N01_16_1 SAM6_GTB0_TAC02_CH08
N01_16_2 SAM6_GTB0_TAC02_CH16
N01_17_1 SAM6_GTB0_TAC05_CH01
N01_17_2 SAM6_GTB0_TAC05_CH09
N01_18_1 SAM6_GTB0_TAC05_CH02
N01_18_2 SAM6_GTB0_TAC05_CH10
N01_19_1 SAM6_GTB0_TAC05_CH03
N01_19_2 SAM6_GTB0_TAC05_CH11
N01_20_1 SAM6_GTB0_TAC05_CH04
N01_20_2 SAM6_GTB0_TAC05_CH12
N02_01_1 SAM6_GTB0_TAC03_CH01
N02_01_2 SAM6_GTB0_TAC03_CH09
N02_02_1 SAM6_GTB0_TAC03_CH02
N02_02_2 SAM6_GTB0_TAC03_CH10
N02_03_1 SAM6_GTB0_TAC03_CH03
N02_03_2 SAM6_GTB0_TAC03_CH11
N02_04_1 SAM6_GTB0_TAC03_CH04
N02_04_2 SAM6_GTB0_TAC03_CH12
N02_05_1 SAM6_GTB0_TAC03_CH05
N02_05_2 SAM6_GTB0_TAC03_CH13
N02_06_1 SAM6_GTB0_TAC03_CH06
N02_06_2 SAM6_GTB0_TAC03_CH14
N02_07_1 SAM6_GTB0_TAC03_CH07
N02_07_2 SAM6_GTB0_TAC03_CH15
N02_08_1 SAM6_GTB0_TAC03_CH08
N02_08_2 SAM6_GTB0_TAC03_CH16
N02_09_1 SAM6_GTB0_TAC04_CH01
N02_09_2 SAM6_GTB0_TAC04_CH09
N02_10_1 SAM6_GTB0_TAC04_CH02
N02_10_2 SAM6_GTB0_TAC04_CH10
N02_11_1 SAM6_GTB0_TAC04_CH03
N02_11_2 SAM6_GTB0_TAC04_CH11
N02_12_1 SAM6_GTB0_TAC04_CH04
N02_12_2 SAM6_GTB0_TAC04_CH12
N02_13_1 SAM6_GTB0_TAC04_CH05
N02_13_2 SAM6_GTB0_TAC04_CH13
N02_14_1 SAM6_GTB0_TAC04_CH06
N02_14_2 SAM6_GTB0_TAC04_CH14
N02_15_1 SAM6_GTB0_TAC04_CH07
N02_15_2 SAM6_GTB0_TAC04_CH15
N02_16_1 SAM6_GTB0_TAC04_CH08
N02_16_2 SAM6_GTB0_TAC04_CH16
N02_17_1 SAM6_GTB0_TAC05_CH05
N02_17_2 SAM6_GTB0_TAC05_CH13
N02_18_1 SAM6_GTB0_TAC05_CH06
N02_18_2 SAM6_GTB0_TAC05_CH14
N02_19_1 SAM6_GTB0_TAC05_CH07
N02_19_2 SAM6_GTB0_TAC05_CH15
N02_20_1 SAM6_GTB0_TAC05_CH08
N02_20_2 SAM6_GTB0_TAC05_CH16
N03_01_1 SAM6_GTB0_TAC06_CH01
N03_01_2 SAM6_GTB0_TAC06_CH09
N03_02_1 SAM6_GTB0_TAC06_CH02
N03_02_2 SAM6_GTB0_TAC06_CH10
N03_03_1 SAM6_GTB0_TAC06_CH03
N03_03_2 SAM6_GTB0_TAC06_CH11
N03_04_1 SAM6_GTB0_TAC06_CH04
N03_04_2 SAM6_GTB0_TAC06_CH12
N03_05_1 SAM6_GTB0_TAC06_CH05
N03_05_2 SAM6_GTB0_TAC06_CH13
N03_06_1 SAM6_GTB0_TAC06_CH06
N03_06_2 SAM6_GTB0_TAC06_CH14
N03_07_1 SAM6_GTB0_TAC06_CH07
N03_07_2 SAM6_GTB0_TAC06_CH15
N03_08_1 SAM6_GTB0_TAC06_CH08
N03_08_2 SAM6_GTB0_TAC06_CH16
N03_09_1 SAM6_GTB0_TAC07_CH01
N03_09_2 SAM6_GTB0_TAC07_CH09
N03_10_1 SAM6_GTB0_TAC07_CH02
N03_10_2 SAM6_GTB0_TAC07_CH10
N03_11_1 SAM6_GTB0_TAC07_CH03
N03_11_2 SAM6_GTB0_TAC07_CH11
N03_12_1 SAM6_GTB0_TAC07_CH04
N03_12_2 SAM6_GTB0_TAC07_CH12
N03_13_1 SAM6_GTB0_TAC07_CH05
N03_13_2 SAM6_GTB0_TAC07_CH13
N03_14_1 SAM6_GTB0_TAC07_CH06
N03_14_2 SAM6_GTB0_TAC07_CH14
N03_15_1 SAM6_GTB0_TAC07_CH07
N03_15_2 SAM6_GTB0_TAC07_CH15
N03_16_1 SAM6_GTB0_TAC07_CH08
N03_16_2 SAM6_GTB0_TAC07_CH16
N03_17_1 SAM6_GTB0_TAC10_CH01
N03_17_2 SAM6_GTB0_TAC10_CH09
N03_18_1 SAM6_GTB0_TAC10_CH02
N03_18_2 SAM6_GTB0_TAC10_CH10
N03_19_1 SAM6_GTB0_TAC10_CH03
N03_19_2 SAM6_GTB0_TAC10_CH11
N03_20_1 SAM6_GTB0_TAC10_CH04
N03_20_2 SAM6_GTB0_TAC10_CH12
N04_01_1 SAM6_GTB0_TAC08_CH01
N04_01_2 SAM6_GTB0_TAC08_CH09
N04_02_1 SAM6_GTB0_TAC08_CH02
N04_02_2 SAM6_GTB0_TAC08_CH10
N04_03_1 SAM6_GTB0_TAC08_CH03
N04_03_2 SAM6_GTB0_TAC08_CH11
N04_04_1 SAM6_GTB0_TAC08_CH04
N04_04_2 SAM6_GTB0_TAC08_CH12
N04_05_1 SAM6_GTB0_TAC08_CH05
N04_05_2 SAM6_GTB0_TAC08_CH13
N04_06_1 SAM6_GTB0_TAC08_CH06
N04_06_2 SAM6_GTB0_TAC08_CH14
N04_07_1 SAM6_GTB0_TAC08_CH07
N04_07_2 SAM6_GTB0_TAC08_CH15
N04_08_1 SAM6_GTB0_TAC08_CH08
N04_08_2 SAM6_GTB0_TAC08_CH16
N04_09_1 SAM6_GTB0_TAC09_CH01
N04_09_2 SAM6_GTB0_TAC09_CH09
N04_10_1 SAM6_GTB0_TAC09_CH02
N04_10_2 SAM6_GTB0_TAC09_CH10
N04_11_1 SAM6_GTB0_TAC09_CH03
N04_11_2 SAM6_GTB0_TAC09_CH11
N04_12_1 SAM6_GTB0_TAC09_CH04
N04_12_2 SAM6_GTB0_TAC09_CH12
N04_13_1 SAM6_GTB0_TAC09_CH05
N04_13_2 SAM6_GTB0_TAC09_CH13
N04_14_1 SAM6_GTB0_TAC09_CH06
N04_14_2 SAM6_GTB0_TAC09_CH14
N04_15_1 SAM6_GTB0_TAC09_CH07
N04_15_2 SAM6_GTB0_TAC09_CH15
N04_16_1 SAM6_GTB0_TAC09_CH08
N04_16_2 SAM6_GTB0_TAC09_CH16
N04_17_1 SAM6_GTB0_TAC10_CH05
N04_17_2 SAM6_GTB0_TAC10_CH13
N04_18_1 SAM6_GTB0_TAC10_CH06
N04_18_2 SAM6_GTB0_TAC10_CH14
N04_19_1 SAM6_GTB0_TAC10_CH07
N04_19_2 SAM6_GTB0_TAC10_CH15
N04_20_1 SAM6_GTB0_TAC10_CH08
N04_20_2 SAM6_GTB0_TAC10_CH16
N05_01_1 SAM6_GTB1_TAC01_CH01
N05_01_2 SAM6_GTB1_TAC01_CH09
N05_02_1 SAM6_GTB1_TAC01_CH02
N05_02_2 SAM6_GTB1_TAC01_CH10
N05_03_1 SAM6_GTB1_TAC01_CH03
N05_03_2 SAM6_GTB1_TAC01_CH11
N05_04_1 SAM6_GTB1_TAC01_CH04
N05_04_2 SAM6_GTB1_TAC01_CH12
N05_05_1 SAM6_GTB1_TAC01_CH05
N05_05_2 SAM6_GTB1_TAC01_CH13
N05_06_1 SAM6_GTB1_TAC01_CH06
N05_06_2 SAM6_GTB1_TAC01_CH14
N05_07_1 SAM6_GTB1_TAC01_CH07
N05_07_2 SAM6_GTB1_TAC01_CH15
N05_08_1 SAM6_GTB1_TAC01_CH08
N05_08_2 SAM6_GTB1_TAC01_CH16
N05_09_1 SAM6_GTB1_TAC02_CH01
N05_09_2 SAM6_GTB1_TAC02_CH09
N05_10_1 SAM6_GTB1_TAC02_CH02
N05_10_2 SAM6_GTB1_TAC02_CH10
N05_11_1 SAM6_GTB1_TAC02_CH03
N05_11_2 SAM6_GTB1_TAC02_CH11
N05_12_1 SAM6_GTB1_TAC02_CH04
N05_12_2 SAM6_GTB1_TAC02_CH12
N05_13_1 SAM6_GTB1_TAC02_CH05
N05_13_2 SAM6_GTB1_TAC02_CH13
N05_14_1 SAM6_GTB1_TAC02_CH06
N05_14_2 SAM6_GTB1_TAC02_CH14
N05_15_1 SAM6_GTB1_TAC02_CH07
N05_15_2 SAM6_GTB1_TAC02_CH15
N05_16_1 SAM6_GTB1_TAC02_CH08
N05_16_2 SAM6_GTB1_TAC02_CH16
N05_17_1 SAM6_GTB1_TAC05_CH01
N05_17_2 SAM6_GTB1_TAC05_CH09
N05_18_1 SAM6_GTB1_TAC05_CH02
N05_18_2 SAM6_GTB1_TAC05_CH10
N05_19_1 SAM6_GTB1_TAC05_CH03
N05_19_2 SAM6_GTB1_TAC05_CH11
N05_20_1 SAM6_GTB1_TAC05_CH04
N05_20_2 SAM6_GTB1_TAC05_CH12
N06_01_1 SAM6_GTB1_TAC03_CH01
N06_01_2 SAM6_GTB1_TAC03_CH09
N06_02_1 SAM6_GTB1_TAC03_CH02
N06_02_2 SAM6_GTB1_TAC03_CH10
N06_03_1 SAM6_GTB1_TAC03_CH03
N06_03_2 SAM6_GTB1_TAC03_CH11
N06_04_1 SAM6_GTB1_TAC03_CH04
N06_04_2 SAM6_GTB1_TAC03_CH12
N06_05_1 SAM6_GTB1_TAC03_CH05
N06_05_2 SAM6_GTB1_TAC03_CH13
N06_06_1 SAM6_GTB1_TAC03_CH06
N06_06_2 SAM6_GTB1_TAC03_CH14
N06_07_1 SAM6_GTB1_TAC03_CH07
N06_07_2 SAM6_GTB1_TAC03_CH15
N06_08_1 SAM6_GTB1_TAC03_CH08
N06_08_2 SAM6_GTB1_TAC03_CH16
N06_09_1 SAM6_GTB1_TAC04_CH01
N06_09_2 SAM6_GTB1_TAC04_CH09
N06_10_1 SAM6_GTB1_TAC04_CH02
N06_10_2 SAM6_GTB1_TAC04_CH10
N06_11_1 SAM6_GTB1_TAC04_CH03
N06_11_2 SAM6_GTB1_TAC04_CH11
N06_12_1 SAM6_GTB1_TAC04_CH04
N06_12_2 SAM6_GTB1_TAC04_CH12
N06_13_1 SAM6_GTB1_TAC04_CH05
N06_13_2 SAM6_GTB1_TAC04_CH13
N06_14_1 SAM6_GTB1_TAC04_CH06
N06_14_2 SAM6_GTB1_TAC04_CH14
N06_15_1 SAM6_GTB1_TAC04_CH07
N06_15_2 SAM6_GTB1_TAC04_CH15
N06_16_1 SAM6_GTB1_TAC04_CH08
N06_16_2 SAM6_GTB1_TAC04_CH16
N06_17_1 SAM6_GTB1_TAC05_CH05
N06_17_2 SAM6_GTB1_TAC05_CH13
N06_18_1 SAM6_GTB1_TAC05_CH06
N06_18_2 SAM6_GTB1_TAC05_CH14
N06_19_1 SAM6_GTB1_TAC05_CH07
N06_19_2 SAM6_GTB1_TAC05_CH15
N06_20_1 SAM6_GTB1_TAC05_CH08
N06_20_2 SAM6_GTB1_TAC05_CH16
N07_01_1 SAM6_GTB1_TAC06_CH01
N07_01_2 SAM6_GTB1_TAC06_CH09
N07_02_1 SAM6_GTB1_TAC06_CH02
N07_02_2 SAM6_GTB1_TAC06_CH10
N07_03_1 SAM6_GTB1_TAC06_CH03
N07_03_2 SAM6_GTB1_TAC06_CH11
N07_04_1 SAM6_GTB1_TAC06_CH04
N07_04_2 SAM6_GTB1_TAC06_CH12
N07_05_1 SAM6_GTB1_TAC06_CH05
N07_05_2 SAM6_GTB1_TAC06_CH13
N07_06_1 SAM6_GTB1_TAC06_CH06
N07_06_2 SAM6_GTB1_TAC06_CH14
N07_07_1 SAM6_GTB1_TAC06_CH07
N07_07_2 SAM6_GTB1_TAC06_CH15
N07_08_1 SAM6_GTB1_TAC06_CH08
N07_08_2 SAM6_GTB1_TAC06_CH16
N07_09_1 SAM6_GTB1_TAC07_CH01
N07_09_2 SAM6_GTB1_TAC07_CH09
N07_10_1 SAM6_GTB1_TAC07_CH02
N07_10_2 SAM6_GTB1_TAC07_CH10
N07_11_1 SAM6_GTB1_TAC07_CH03
N07_11_2 SAM6_GTB1_TAC07_CH11
N07_12_1 SAM6_GTB1_TAC07_CH04
N07_12_2 SAM6_GTB1_TAC07_CH12
N07_13_1 SAM6_GTB1_TAC07_CH05
N07_13_2 SAM6_GTB1_TAC07_CH13
N07_14_1 SAM6_GTB1_TAC07_CH06
N07_14_2 SAM6_GTB1_TAC07_CH14
N07_15_1 SAM6_GTB1_TAC07_CH07
N07_15_2 SAM6_GTB1_TAC07_CH15
N07_16_1 SAM6_GTB1_TAC07_CH08
N07_16_2 SAM6_GTB1_TAC07_CH16
N07_17_1 SAM6_GTB1_TAC10_CH01
N07_17_2 SAM6_GTB1_TAC10_CH09
N07_18_1 SAM6_GTB1_TAC10_CH02
N07_18_2 SAM6_GTB1_TAC10_CH10
N07_19_1 SAM6_GTB1_TAC10_CH03
N07_19_2 SAM6_GTB1_TAC10_CH11
N07_20_1 SAM6_GTB1_TAC10_CH04
N07_20_2 SAM6_GTB1_TAC10_CH12
N08_01_1 SAM6_GTB1_TAC08_CH01
