Crystal  Offset  Gain
0  -27.1518  0.928003
1  -36.1021  0.938478
2  -25.4958  0.930111
3  -19.3135  0.925794
4  -31.1402  0.934404
5  -32.7938  0.932684
6  -31.8249  0.934045
7  -25.7323  0.91148
8  -27.6546  0.939283
9  -11.1463  0.917796
10  -26.8139  0.925591
11  -34.6965  0.937492
12  -31.4531  0.923687
13  -24.3661  0.935299
14  -30.3253  0.928438
15  -30.9128  0.916396
16  -25.6654  0.945617
17  -36.6036  0.938616
18  -23.8595  0.910952
19  -32.861  0.947962
20  -23.4619  0.932499
21  -44.2413  0.989393
22  -20.7231  0.936134
23  -24.7697  0.940118
24  -25.7541  0.940715
25  -25.3255  0.941938
26  -29.876  0.937484
27  -41.4631  0.969131
28  -23.8878  0.946721
29  -26.7002  0.944248
30  -28.8291  0.942646
31  -26.7662  0.940229
32  -22.4855  0.946126
33  -26.1272  0.949988
34  -25.4985  0.95361
35  -26.4523  0.940784
36  -29.7911  0.953507
37  -23.3378  0.938498
38  -19.9838  0.940623
39  -34.3492  0.951933
40  -16.4841  0.934326
41  -32.6275  0.914205
42  -26.2431  0.937947
43  -28.6479  0.947345
44  -32.2473  0.947682
45  -23.1457  0.951543
46  -25.9814  0.945751
47  -34.4884  0.949279
48  -30.2785  0.952366
49  -28.1394  0.953792
50  -22.565  0.94749
51  -27.557  0.94221
52  -26.488  0.953001
53  -21.6835  0.944012
54  -32.0762  0.950577
55  -23.1079  0.947956
56  -20.3907  0.944302
57  -38.7364  1.09753
58  -27.2643  0.932825
59  -28.31  0.954259
60  -19.3354  0.964707
61  -30.2791  0.962568
62  -24.5476  0.943418
63  -23.4752  0.947103
64  -29.0205  0.943405
65  -28.7826  0.940219
66  -29.4552  0.929983
67  -28.6326  0.944533
68  -28.3866  0.94125
69  -29.2059  0.932492
70  -33.1172  0.940686
71  -29.0986  0.929238
72  -28.1596  0.936345
73  -24.9089  0.929545
74  -27.7438  0.937798
75  -27.4632  0.956406
76  -28.8115  0.929266
77  -26.4943  0.933424
78  -26.7877  0.961319
79  -25.5322  0.933503
80  -24.9212  0.958637
81  -23.2217  0.953339
82  -24.1778  0.952858
83  -22.9644  0.95134
84  -28.9002  0.957321
85  -22.3803  0.952434
86  -21.9292  0.951537
87  -24.9522  0.957015
88  -17.6638  0.954113
89  -24.8214  0.953666
90  -21.968  0.956
91  -25.17  0.955978
92  -25.9392  0.955693
93  -24.7684  0.953929
94  -25.097  0.956213
95  -25.5266  0.957797
96  -23.6889  0.9591
97  -27.3818  0.950314
98  -19.151  0.949414
99  -21.4814  0.959099
100  -26.2997  0.962323
101  -23.536  0.957142
102  -25.2553  0.963903
103  -25.1368  0.953968
104  -27.2199  0.950508
105  -24.9553  0.941786
106  -25.0552  0.947876
107  -25.2438  0.949052
108  -23.923  0.948877
109  -25.1855  0.939596
110  -22.3381  0.947941
111  -23.6348  0.956601
112  -24.8175  0.939045
113  -24.039  0.949128
114  -24.3279  0.939561
115  -26.6164  0.944756
116  -35.2823  0.954542
117  -25.7421  0.950463
118  -27.756  0.95312
119  -27.1894  0.937764
120  -31.6299  0.95627
121  -38.197  0.952584
122  -27.5113  0.940055
123  -26.0977  0.944044
124  -32.3857  0.939544
125  -36.5833  0.948001
126  -30.2158  0.944243
127  -24.6948  0.929804
