Crystal  Offset  Gain  ResFWHM(511) ResFWHM(1274)
0  -22.6611  0.470874  10.5683  5.86839
1  -29.9636  0.474054  9.99015  6.4587
2  -24.6053  0.472231  9.03966  5.2444
3  -18.6891  0.470282  10.5433  5.47654
4  -28.5908  0.475783  9.98725  5.54997
5  -31.045  0.474358  9.14061  6.6168
6  -34.2308  0.478406  10.47  7.41875
7  -24.4489  0.464585  11.0163  5.16373
8  -26.8403  0.477049  9.84146  5.23434
9  -17.9921  0.470369  10.8039  8.61125
10  -23.2084  0.469724  9.82198  5.61737
11  -33.201  0.477523  12.1871  7.70149
12  -31.453  0.472927  11.356  8.27142
13  -22.3385  0.473455  8.21539  4.87351
14  -30.8277  0.474325  9.33727  7.15861
15  -30.4025  0.470444  13.157  9.17957
16  -20.4734  0.466478  9.65629  6.48358
17  -28.1206  0.460766  12.4922  8.49883
18  -19.5639  0.448482  8.02093  5.13749
19  -26.7473  0.466652  10.4998  7.46452
20  -16.7534  0.459071  10.7696  5.15771
21  -39.9614  0.48993  12.6364  11.7614
22  -16.4202  0.461652  8.99113  4.81219
23  -20.0596  0.463693  9.15415  4.96143
24  -21.9056  0.465057  11.1048  5.44186
25  -19.3565  0.463764  9.93023  5.65061
26  -22.9605  0.462827  11.4154  6.10028
27  -32.0007  0.47419  14.1848  10.2767
28  -20.0475  0.467372  8.47755  4.42711
29  -21.6759  0.466244  8.58534  4.98983
30  -25.3633  0.467003  8.70837  5.91368
31  -20.5702  0.4645  11.0105  5.62543
32  -19.6022  0.468088  8.9973  5.21323
33  -18.7241  0.468873  14.0404  6.9209
34  -23.9919  0.473561  10.1612  6.10683
35  -20.064  0.465057  11.6888  6.44826
36  -25.1836  0.470633  9.82898  5.92131
37  -18.2266  0.464763  10.6065  5.9696
38  -17.725  0.46598  9.31984  5.53197
39  -28.7845  0.470305  11.1977  7.63636
40  -13.5593  0.464638  11.2141  6.40128
41  -23.19  0.448284  13.8898  9.9751
42  -22.8277  0.463834  11.306  6.64681
43  -25.2563  0.468832  9.69942  5.77062
44  -30.172  0.469917  13.3184  9.93912
45  -19.3036  0.466094  9.47192  5.81046
46  -21.0497  0.467887  11.2554  5.78524
47  -29.9017  0.468203  14.3728  8.39944
48  -26.8394  0.478883  9.85309  6.75049
49  -25.2812  0.480568  11.7013  6.95148
50  -21.7193  0.476109  9.11489  4.89279
51  -22.0321  0.475013  13.2692  7.13074
52  -21.4423  0.476219  9.10569  5.37007
53  -18.536  0.475563  9.79012  5.34743
54  -28.8021  0.478772  12.0465  6.53001
55  -20.0724  0.476528  10.5501  5.49352
56  -17.1382  0.474901  9.50381  5.56219
57  -46.855  0.542913  15.532  10.7035
58  -23.7615  0.471711  13.4184  8.22136
59  -27.9896  0.47882  9.12775  6.65239
60  -16.9722  0.485701  10.6325  5.54408
61  -29.8057  0.488757  12.3178  8.4773
62  -21.6379  0.476002  9.13585  5.47577
63  -20.4027  0.475919  9.04883  5.26624
64  -19.6777  0.462371  9.10351  5.18315
65  -20.7491  0.460875  8.6626  4.59389
66  -21.9786  0.460058  8.25131  4.99291
67  -22.5506  0.463187  8.79032  5.58445
68  -21.0616  0.461658  8.31868  5.01718
69  -21.099  0.457215  8.43794  4.95243
70  -24.0296  0.461621  9.08043  5.26118
71  -19.978  0.457262  8.7453  4.99875
72  -21.4183  0.459535  8.52163  4.77441
73  -20.0759  0.457681  8.35713  4.91289
74  -21.2733  0.46189  8.78552  5.36097
75  -21.8194  0.472143  8.98783  4.85653
76  -22.3187  0.457281  8.1688  4.69383
77  -20.1162  0.457503  8.71138  5.38841
78  -22.2683  0.473872  8.97816  4.95928
79  -18.9767  0.457396  8.66932  4.64468
80  -20.6045  0.474426  8.18026  4.8384
81  -19.484  0.472561  8.72982  4.79166
82  -21.7523  0.472687  7.94842  4.26543
83  -19.3067  0.471391  8.30467  4.53113
84  -23.5321  0.474346  8.4911  5.1712
85  -20.0603  0.472389  8.85462  4.91637
86  -20.0055  0.47226  8.05959  4.52436
87  -22.0739  0.474868  8.24566  4.52749
88  -12.864  0.472933  9.14662  5.54689
89  -21.3107  0.473737  9.01849  4.96672
90  -18.4991  0.474049  8.40827  4.73851
91  -22.9339  0.474426  8.51094  5.0454
92  -22.7634  0.473887  8.533  4.85348
93  -20.86  0.473854  8.42904  4.73605
94  -22.1935  0.474729  8.45319  4.63337
95  -21.8786  0.473349  8.09368  4.65821
96  -20.6149  0.477117  8.32689  4.74984
97  -32.3558  0.479614  9.75762  10.4272
98  -16.9125  0.473569  8.78358  4.66538
99  -17.0856  0.474892  8.68096  4.83531
100  -22.7001  0.478787  8.72717  5.01167
101  -20.4835  0.474508  8.82609  4.90192
102  -23.0971  0.478688  8.66326  4.8075
103  -20.8705  0.475321  9.25871  4.80777
104  -22.4995  0.474099  9.00002  4.78529
105  -21.9115  0.471849  9.30448  4.94495
106  -21.2808  0.476424  9.54275  5.1941
107  -20.2675  0.474591  9.09257  4.91554
108  -20.2425  0.473722  9.1291  5.04625
109  -21.8478  0.468861  8.4542  4.92626
110  -17.8602  0.473244  9.31812  5.01701
111  -18.9358  0.476076  8.30972  4.46476
112  -21.1594  0.473  9.16154  5.56264
113  -20.9977  0.473893  8.21165  4.45485
114  -20.7701  0.470201  9.40844  5.38684
115  -20.4469  0.472506  9.80097  5.15227
116  -30.8512  0.478307  9.78675  7.25574
117  -21.5701  0.473332  9.28091  5.15804
118  -22.581  0.476662  9.54188  5.00736
119  -21.8193  0.46975  9.14054  4.73017
120  -23.4577  0.474225  9.12259  4.93218
121  -27.8236  0.472345  9.511  5.87955
122  -24.4722  0.473625  9.89548  5.41184
123  -22.8016  0.47371  9.36291  6.05194
124  -21.1748  0.464825  8.78869  5.23057
125  -25.538  0.470094  9.39706  5.71704
126  -27.3146  0.473943  9.62437  6.31553
127  -21.0992  0.464147  8.79442  5.56802
