Crystal  Offset  Gain
0  22.2552  11.01
1  31.4839  11.0171
2  1.53993  11.0227
3  47.5098  11.0136
4  -2.38895  11.0373
5  -4.23771  11.0295
6  7.45785  11.0292
7  4.47734  11.0201
8  69.5877  10.9712
9  68.4003  10.9914
10  -28.4073  11.0439
11  52.5803  10.9863
12  43.3299  11.0042
13  39.0433  11.006
14  52.2303  11.0068
15  12.8955  11.0248
16  33.0316  11.0167
17  37.0884  11.018
18  19.3096  11.0283
19  29.2299  11.0091
20  34.2387  11.0119
21  33.1984  11.0187
22  39.0354  11.0071
23  372.848  10.8726
24  42.9674  11.0083
25  -5.72325  11.0438
26  27.0585  11.0255
27  11.5231  11.0223
28  44.2946  11.0067
29  17.3882  11.0202
30  18.8774  11.0168
31  3.53073  11.0316
32  22.8228  11.0267
33  43.1163  11.0114
34  24.6997  11.0084
35  2.16736  11.0282
36  36.6082  11.0178
37  29.5199  10.9988
38  -141.442  11.0998
39  35.548  11.0044
40  51.0273  10.9895
41  49.3672  11.0083
42  15.7684  11.0238
43  0.181889  11.03
44  11.3683  11.0222
45  57.8788  11.0039
46  35.4638  11.0113
47  36.8542  11.0159
48  38.8684  11.0199
49  24.2214  11.0236
50  29.415  11.0389
51  -1.15158  11.0335
52  27.1421  11.021
53  1.07644  11.0355
54  14.9725  11.038
55  -12.5496  11.0402
56  69.947  10.9845
57  38.2113  11.0145
58  35.7647  11.006
59  70.9795  10.9898
60  32.0729  11.0184
61  -7.45573  11.0299
62  49.3105  11.0097
63  -0.547128  11.039
64  -16.2362  11.0355
65  -17.5879  11.0498
66  65.6944  10.9973
67  33.9752  11.007
68  30.2053  11.0191
69  45.116  11.0168
70  -14.8246  11.0305
71  -0.872921  11.0173
72  65.9492  10.9911
73  6.21855  11.0381
74  67.0188  10.9986
75  25.1443  11.0257
76  26.7861  11.0117
77  6.8887  11.0247
78  20.7565  11.0344
79  101.146  10.9718
80  49.251  11.0121
81  22.0932  11.0184
82  0.554551  11.0498
83  17.1802  11.0163
84  21.0654  11.0152
85  36.2274  11.0199
86  47.7886  11.0126
87  -45.5393  11.0673
88  0.252655  11.0422
89  2.32541  11.0277
90  50.3863  11.0304
91  12.0085  11.02
92  63.0064  10.9978
93  59.3662  10.997
94  354.288  10.6958
95  12.9845  11.024
96  61.5028  10.9954
97  17.6042  11.0186
98  -17.9282  11.0259
99  28.1502  11.0081
100  48.5019  11.0107
101  29.2444  11.0119
102  50.0407  11.0136
103  14.5937  11.023
104  36.6617  11.0083
105  21.2989  11.0195
106  42.7455  11.0098
107  28.7894  11.0276
108  44.71  11.0004
109  38.826  11.016
110  70.8348  11.0031
111  43.2861  11.0094
112  32.9419  11.0273
113  25.0079  11.026
114  27.7551  11.0188
115  -7.40181  11.0284
116  33.4796  11.0189
117  21.4425  11.035
118  17.9668  11.0297
119  21.2251  11.023
120  24.6906  11.0118
121  33.5486  11.0193
122  16.1726  11.0218
123  40.0953  11.0096
124  20.3673  11.0232
125  11.5717  11.0259
126  -14.1675  11.0326
127  9.83093  11.0331
