#CrystalId Ratio NumEvents
0 0.651847 56824
1 0.660187 47435
2 0.651150 39583
3 0.648114 52842
4 0.650413 48591
5 0.652569 47312
6 0.653147 42818
7 0.672193 52689
8 0.658672 48265
9 0.646955 55322
10 0.645208 61890
11 0.656947 55913
12 0.661204 57146
13 0.645821 58077
14 0.648551 52996
15 0.670683 54052
16 0.424848 61010
17 0.442256 51157
18 0.410066 58518
19 0.420720 61825
20 0.416439 60319
21 0.408337 58014
22 0.420194 54081
23 0.493506 55925
24 0.415016 55020
25 0.429930 61461
26 0.455498 69812
27 0.411146 59154
28 0.414388 63623
29 0.524903 66508
30 0.439697 61723
31 0.411455 61865
32 0.429350 76902
33 0.416750 60595
34 0.437443 68980
35 0.428407 74948
36 0.415380 71420
37 0.423204 70515
38 0.422251 64619
39 0.622445 69836
40 0.432882 77357
41 0.445173 85702
42 0.432519 95790
43 0.433997 80343
44 0.474487 86370
45 0.427357 95053
46 0.466939 84389
47 0.500710 87516
48 0.446364 108543
49 0.446345 87284
50 0.432691 102221
51 0.452543 108558
52 0.444746 101210
53 0.424638 104540
54 0.500010 89084
55 0.450589 97928
56 0.472282 101765
57 0.457060 109119
58 0.484739 125414
59 0.550191 108454
60 0.451834 114058
61 0.505772 119293
62 0.462592 113787
63 0.486207 112065
64 0.413713 50969
65 0.408994 40862
66 0.410075 45375
67 0.412671 49334
68 0.409261 48605
69 0.411191 44854
70 0.408897 41558
71 0.414223 45615
72 0.412344 44234
73 0.432452 46719
74 0.407796 53741
75 0.408736 46824
76 0.414057 49738
77 0.417559 53857
78 0.408070 47661
79 0.468581 49419
80 0.418341 61856
81 0.412597 55212
82 0.422332 58793
83 0.411500 58642
84 0.442500 54039
85 0.425042 60706
86 0.415447 50886
87 0.428950 54766
88 0.414047 55607
89 0.408677 59083
90 0.411917 65915
91 0.429476 56779
92 0.414766 63449
93 0.439353 61448
94 0.423360 67595
95 0.873758 61182
96 0.538106 72487
97 0.870829 61221
98 0.410050 66382
99 0.411444 73246
100 0.408122 66289
101 0.412770 68832
102 0.439774 58862
103 0.425608 65243
104 0.437285 79080
105 0.449139 86476
106 0.457522 97627
107 0.529928 97060
108 0.428998 90615
109 0.452564 96843
110 0.575138 87870
111 0.422501 88366
112 0.479913 109836
113 0.435662 90329
114 0.439696 102474
115 0.451101 107779
116 0.473749 101137
117 0.432279 102971
118 0.477806 86667
119 0.486813 98060
120 0.470999 104002
121 0.466975 109363
122 0.571619 124279
123 0.516782 105026
124 0.467676 113386
125 0.470736 125509
126 0.471111 116831
127 0.591761 115368
