#bar  tdiff_offset[ns]  sync_offset[ns]  vscint[cm/ns] 
1     22.9038     21.976     8.1206
2     22.6768     21.9172     8.09792
3     23.9975     21.8536     8.1198
4     22.841     21.7252     8.15175
5     23.2741     20.7384     8.21143
6     22.0799     21.36     8.16913
7     23.227     21.486     8.12905
8     22.737     21.126     8.21822
9     23.8849     21.696     8.13749
10     23.1886     21.684     8.19347
11     23.3238     20.974     8.23002
12     23.0093     21.5532     8.14658
13     23.803     21.9512     8.16227
14     23.0863     21.7704     8.14376
15     23.9237     22.2788     8.14233
16     23.864     22.0432     8.09851
17     24.4546     22.344     8.15438
18     25.6801     22.5548     8.15185
19     24.3888     22.1636     8.07278
20     24.92     22.1224     8.06744
21     24.5553     22.1212     8.10115
22     24.661     22.5068     8.11717
23     24.7342     22.3572     8.12734
24     24.5711     22.2792     8.13504
25     25.6077     21.99     8.12107
26     23.4073     22.1052     8.11459
27     24.4987     21.7168     8.13865
28     24.6535     22.4476     8.13971
29     2.26146     10.3988     8.1117
30     2.82972     11.0512     8.1146
31     23.8774     -0.1164     8.10808
32     22.8592     0.1996     8.0996
33     22.1716     0.5284     8.12251
34     23.6735     0.27     8.09368
35     23.9753     0.3016     8.1184
36     22.3504     0.3456     8.09557
37     23.1032     0.1544     8.16492
38     22.8148     -0.462     8.10876
39     23.0211     0.0352     8.1541
40     23.2482     0.0416     8.14727
41     23.7175     0.6928     8.10286
42     22.5936     0.4664     8.14259
43     23.9408     0.7296     8.1525
44     23.0955     0.392     8.14421
45     0.0354459     -12.4492     8.19132
46     -0.73895     -12.1844     8.15477
47     -0.880652     -12.3192     8.13524
48     -1.14144     -11.6456     8.11572
49     -0.880774     -12.3448     8.09451
50     -1.81063     -12.3764     8.17939
51     46.4407     10.7592     8.10366
52     46.7036     10.964     8.13254
53     46.3736     10.87     8.07317
54     47.6423     10.7464     8.06967
55     46.8419     11.1404     8.10035
56     47.8075     11.098     8.05741
57     45.2739     10.2112     8.21669
58     46.9079     10.7352     8.10182
59     46.8062     11.3428     8.0909
60     46.971     10.7948     8.09105
61     44.9392     11.638     8.09558
62     45.8024     11.2348     8.07473
63     46.1602     11.4388     8.06424
64     45.7869     11.1184     8.08037
65     46.6785     11.1288     8.07324
66     46.0987     10.76     8.09575
67     47.3429     11.4812     8.08562
68     46.8304     10.9828     8.10305
69     46.4675     11.0744     8.11125
70     45.646     11.2352     8.09869
71     23.8578     0.1116     8.08659
72     23.8311     0.3     8.10364
73     22.824     0.266     8.0377
74     23.5754     0.0116     8.10036
75     22.8757     0     8.09842
76     23.6204     -0.1688     8.02103
77     23.1634     0.43     8.027
78     22.7495     0.0764     8.09258
79     22.27     0.28     8.0475
80     22.8995     -0.0588     8.03576
81     23.0755     0.252     8.10402
82     22.3466     0.2308     8.10654
83     23.3063     0.052     8.07406
84     22.8381     -0.114     8.05979
85     23.7562     0.152     8.07402
86     22.6897     0.1372     8.12454
87     21.2629     -0.5008     8.11638
88     22.2889     -0.402     8.0834
89     21.7106     -0.6312     8.11121
90     21.5409     -0.0648     8.09913
91     22.0368     -0.6972     8.1055
92     21.1302     -0.5408     8.0928
93     21.5521     -0.1748     8.08192
94     21.0942     -1.0688     8.10709
95     22.1325     -0.4464     8.05115
96     22.6286     -0.6756     8.10189
97     20.5244     -0.3896     8.03052
98     21.9981     -0.8712     8.0837
99     22.0822     -0.5432     8.0379
100     22.315     -0.9372     8.13134
